抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期
2026-08-01,新歌榜,76,走错太多路,戎大姨,走错太多路(治愈版),2026-07-04
2026-08-01,新歌榜,77,不是我不小心,周深深,不是我不小心（氛围版）,2026-07-11
2026-08-01,新歌榜,78,十万片,郭郡BiSang_NX,十万片,2026-07-21
2026-08-01,新歌榜,79,留白,吴炳文,留白,2026-07-23
2026-08-01,新歌榜,80,Pretty Girl,RESCENE (리센느),Pretty Girl - Special Single,2026-07-08
2026-08-01,新歌榜,81,岛屿,棱镜乐队,石头想有糖的温度,2020-08-25
2026-08-01,新歌榜,82,你的眼神,周深深,你的眼神,2026-07-04
2026-08-01,新歌榜,83,梦哑,云汐,梦哑,2026-07-20
2026-08-01,新歌榜,84,You Are,李昊,You Are,2026-07-30
2026-08-01,新歌榜,85,Bad Boy,万妮达Vinida Weng,Bad Boy,2026-07-11
2026-08-01,新歌榜,86,Sunburst,RIIZE,Sunburst,2026-07-26
2026-08-01,新歌榜,87,见山,水木年华,见山,2026-07-16
2026-08-01,新歌榜,88,You,Appleby,You,2026-07-08
2026-08-01,新歌榜,89,看山,方大树/灯叔,看山,2026-07-02
2026-08-01,新歌榜,90,不负,迟木,不负 (《沧元图3》动画孟川官方生贺曲),2026-07-31
2026-08-01,新歌榜,91,Round We Go (慢慢向前),七元,Round We Go (慢慢向前),2026-07-02
2026-08-01,新歌榜,92,Two to Tango 交缠舞步,三Z-STUDIO/HOYO-MiX,绝区零-Two to Tango 交缠舞步,2026-07-27
2026-08-01,新歌榜,93,这场雨下完就忘了你,戎大姨,这场雨下完就忘了你,2026-07-11
2026-08-01,新歌榜,94,如期,王俊凯,WJK,2026-07-08
2026-08-01,新歌榜,95,好想好想,代旭/井胧,好想好想·开始奏乐开始舞,2026-07-26
2026-08-01,新歌榜,96,全世界陪我出发,TF家族/TF家族-官俊臣/TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-王烁然/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-杨涵博/TF家族-张奕然/TF家族-聂玮辰/TF家族-陈思罕/TF家族-魏子宸/TF家族-李煜东/TF家族-陈浚铭,全世界陪我出发,2026-07-06
2026-08-01,新歌榜,97,But You Don't Know Me,张艺兴,斗战胜佛,2026-07-03
2026-08-01,新歌榜,98,不如(Edit),何欢浪,不如,2026-07-07
2026-08-01,新歌榜,99,执念,周宣绮/Kissper,执念,2026-07-23
2026-08-01,新歌榜,100,后来没有后来 (有些人爱或不爱都会分开),郑鱼/顾叮当,后来没有后来 (有些人爱或不爱都会分开),2026-07-22
